PSC CODE,PRODUCT AND SERVICE CODE NAME,START DATE,END DATE,PRODUCT AND SERVICE CODE FULL NAME,PRODUCT AND SERVICE CODE EXCLUDES,PRODUCT AND SERVICE CODE NOTES,PRODUCT AND SERVICE CODE INICLUDES
6509,"DRUGS AND BIOLOGICALS, VETERINARY USE",5/1/2005,,"Drugs and Biologicals, Veterinary Use.",Drugs and Biologicals specifically formulated for Human use classifiable in FSC 6505.,,"All Drugs, medicinal grade chemical, and Biologicals subject to the provisions of the Department of Agriculture (Veterinary Drugs and Biologicals) specifically formulated for Veterinary use. Other Nations may apply their own legal documents."
6510,SURGICAL DRESSING MATERIALS,10/15/1978,,Surgical Dressing Materials,,,"Bandages, Compresses, Dressings, Gauze, Pads, Sponges, and impregnated surgical dressing materials."
6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",10/1/2011,,"Medical and Surgical Instruments, Equipment, and Supplies","Ophthalmic Instruments, Equipment, and Supplies; Non-Medical Endoscopes.",,"Anesthesia Apparatus; Blood Transfusion Apparatus; Oxygen Therapy Apparatus; Respirators; Orthopedic Supplies; Arch Supports; Clinical Thermometers; Sutures; Hearing Aids; Veterinary  Equipment, Endoscopes, Fiber Optic."
6515,"MED & SURGICAL INSTRUMENTS,EQ & SUP",10/15/1978,9/30/2011,"Medical and Surgical Instruments, Equipment, and Supplies","Ophthalmic Instruments, Equipment, and Supplies; Non-Medical Endoscopes.",,"Anesthesia Apparatus; Blood Transfusion Apparatus; Oxygen Therapy Apparatus; Respirators; Orthopedic Supplies; Arch Supports; Clinical Thermometers; Sutures; Hearing Aids; Veterinary  Equipment, Endoscopes, Fiber Optic."
6520,"DENTAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",10/1/2011,,"Dental Instruments, Equipment, and Supplies",,,Dental Engines; Dental Laboratory Equipment; Operating Chairs;  Orthodontic Appliances; Teeth; Dental Metals; Dental Abrasives; Dental  Laboratory Furniture.
6520,DENTAL INSTRUMENTS EQ & SUPPLIES,10/15/1978,9/30/2011,"Dental Instruments, Equipment, and Supplies",,,Dental Engines; Dental Laboratory Equipment; Operating Chairs;  Orthodontic Appliances; Teeth; Dental Metals; Dental Abrasives; Dental  Laboratory Furniture.
6525,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",10/1/2011,,"X-Ray Equipment and Supplies: Medical, Dental, Veterinary",Industrial X-Ray Equipment.,,Medical X-Ray Film; Medical X-Ray Film Viewing Equipment; Medical X-Ray Film Processing and Finishing Equipment and Supplies; X-Ray Tubes.
6525,"X-RAY EQ SUPPLIES - MED, DENTAL & V",10/15/1978,9/30/2011,"X-Ray Equipment and Supplies: Medical, Dental, Veterinary",Industrial X-Ray Equipment.,,Medical X-Ray Film; Medical X-Ray Film Viewing Equipment; Medical X-Ray Film Processing and Finishing Equipment and Supplies; X-Ray Tubes.
6530,"HOSP FURNITURE,EQ,UTENSILS & SUP",10/15/1978,9/30/2011,"Hospital Furniture, Equipment, Utensils, and Supplies",,,Orthopedic Equipment; Operating Lights; Physiotherapy Equipment; Sterilizers; Wheel Chairs; Litters; Hospital Beds; Restraint Equipment.
6530,"HOSPITAL FURNITURE, EQUIPMENT, UTENSILS, AND SUPPLIES",10/1/2011,,"Hospital Furniture, Equipment, Utensils, and Supplies",,,Orthopedic Equipment; Operating Lights; Physiotherapy Equipment; Sterilizers; Wheel Chairs; Litters; Hospital Beds; Restraint Equipment.
6532,HOSPITAL & SURGICAL CLOTHING,10/15/1978,9/30/2011,Hospital and Surgical Clothing and Related Special Purpose Items,General purpose items of clothing and fabricated textile material.,,"Only those clothing items which are required exclusively for use in  hospital operations, or in medical or dental facilities, which have no functional  counterpart elsewhere in Federal Organizations Participating in the Federal  Catalog System."
6532,HOSPITAL AND SURGICAL CLOTHING AND RELATED SPECIAL PURPOSE ITEMS,10/1/2011,,Hospital and Surgical Clothing and Related Special Purpose Items,General purpose items of clothing and fabricated textile material.,,"Only those clothing items which are required exclusively for use in  hospital operations, or in medical or dental facilities, which have no functional  counterpart elsewhere in Federal Organizations Participating in the Federal  Catalog System."
6540,"OPHTHALMIC INSTRUMENTS, EQUIPMENT, AND SUPPLIES",10/1/2011,,"Ophthalmic Instruments, Equipment, and Supplies","Optical Lens Cutting and Grinding Machines: Ophthalmoscope  and Otoscope  Set; Surgical Instruments and Supplies that can be used by other medical disciplines; i.e., sutures, eye pads, eye shields, eye bath, and the like.",,"Ophthalmic Lens Cutting and Grinding Machine; Ophthalmic Lenses and Lens Blanks; Spectacle Frames; Ophthalmological and Optometric Instruments, Equipment, and Supplies"
6540,OPTHALMIC INSTRUMENTS EQ & SUPPLIES,10/15/1978,9/30/2011,"Ophthalmic Instruments, Equipment, and Supplies","Optical Lens Cutting and Grinding Machines: Ophthalmoscope  and Otoscope  Set; Surgical Instruments and Supplies that can be used by other medical disciplines; i.e., sutures, eye pads, eye shields, eye bath, and the like.",,"Ophthalmic Lens Cutting and Grinding Machine; Ophthalmic Lenses and Lens Blanks; Spectacle Frames; Ophthalmological and Optometric Instruments, Equipment, and Supplies"
6545,"REPLENISHABLE FIELD MEDICAL SETS, KITS, AND OUTFITS",10/1/2011,,"Replenishable Field Medical Sets, Kits, and Outfits","Sets and kits which can be logically classified in another FSC Class  in Group 65, such as Insect Sting Kit; Otoscope and Ophthalmoscope Set; In Vitro Diagnostic Test Kits; and the like.",,"Sets and kits which can be logically classified in another FSC Class  in Group 65, such as Insect Sting Kit; Otoscope and Ophthalmoscope Set; In Vitro Diagnostic Test Kits; and the like."
6545,MEDICAL SETS KITS & OUTFITS,10/15/1978,9/30/2011,"Replenishable Field Medical Sets, Kits, and Outfits","Sets and kits which can be logically classified in another FSC Class  in Group 65, such as Insect Sting Kit; Otoscope and Ophthalmoscope Set; In Vitro Diagnostic Test Kits; and the like.",,"Sets and kits which can be logically classified in another FSC Class  in Group 65, such as Insect Sting Kit; Otoscope and Ophthalmoscope Set; In Vitro Diagnostic Test Kits; and the like."
6550,"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",10/1/2011,,"In Vitro Diagnostic Substances, Reagents, Test Kits and Sets",in vitro diagnostic substances classifiable in FSC 6505.,,"In vitro diagnostic aids, such as test tablets, test slides, test strips, test cards, test papers, test solutions, reagents; sets and kits designated for in vitro qualitative and quantitative tests on specimens, such as blood, urine, feces, and the like, for the purposes of aiding in the medical diagnosis of disease, determining body organ dysfunction, or other abnormal conditions."
6550,"IN VITRO DIAGNO SUBSTANCES,REAGENTS",6/15/1983,9/30/2011,"In Vitro Diagnostic Substances, Reagents, Test Kits and Sets",in vitro diagnostic substances classifiable in FSC 6505.,,"In vitro diagnostic aids, such as test tablets, test slides, test strips, test cards, test papers, test solutions, reagents; sets and kits designated for in vitro qualitative and quantitative tests on specimens, such as blood, urine, feces, and the like, for the purposes of aiding in the medical diagnosis of disease, determining body organ dysfunction, or other abnormal conditions."
66,INSTRUMENTS AND LABORATORY EQPT,10/1/1979,,,,"Infrared assemblies (including sub-assemblies and components) designed specifically  for use as or with instruments and laboratory equipment are included in the classes of this group.  Also included are computers (including computer assemblies, computer systems and components) designed specifically for use with instruments and laboratory equipment",
6605,NAVIGATIONAL INSTRUMENTS,10/15/1978,,Navigational Instruments,,,Azimuths; Sextants; Octants; Compasses; Plotting Boards; Underwater Log Equipment; Air Position Indicators; Drift Meters.
6610,FLIGHT INSTRUMENTS,10/15/1978,,Flight Instruments,Navigational Instruments (FSC 6605).,,"Air Speed Indicators; Rate of Climb Indicators; Bank and Turn-Indicators; Pilot Tubes, Gyro Horizon Indicators; Attitude Gyro Indicators."
6615,AUTO PILOT MECHANISMS AIRBORNE GYRO,10/15/1978,9/30/2011,Automatic Pilot Mechanisms and Airborne Gyro Components,"Automatic Pilot Training Devices (FSC 6930); Automatic Pilot Mechanisms, Guided Missile (FSC 1420).","Included in this class are gyro components of guided missiles.  Excluded are complete gyro mechanisms and nonairborne gyro components, both of which are  classified in the same classes as their next higher assemblies.","Automatic Pilot Regulators; Directional, Vertical, Bank and Turn, and Hydraulic Surface  Gyro Controls; Airborne and Shipborne Automatic Pilot Mechanisms; Helicopter Automatic Stabilization Equipment."
6615,AUTOMATIC PILOT MECHANISMS AND AIRBORNE GYRO COMPONENTS,10/1/2011,,Automatic Pilot Mechanisms and Airborne Gyro Components,"Automatic Pilot Training Devices (FSC 6930); Automatic Pilot Mechanisms, Guided Missile (FSC 1420).","Included in this class are gyro components of guided missiles.  Excluded are complete gyro mechanisms and nonairborne gyro components, both of which are  classified in the same classes as their next higher assemblies.","Automatic Pilot Regulators; Directional, Vertical, Bank and Turn, and Hydraulic Surface  Gyro Controls; Airborne and Shipborne Automatic Pilot Mechanisms; Helicopter Automatic Stabilization Equipment."
6620,ENGINE INSTRUMENTS,10/15/1978,,Engine Instruments,,Instruments designed for use on both engines and other than engines are not included in this class and should be classified in the appropriate instruments class of group 66.,"All Engine Instruments, including Aircraft, Marine, and Vehicular; Fuel Pressure Gages; Manifold Pressure Gages; Oil Pressure Gages; Fuel Mixture Indicators; Engine Oil and Fuel Warning Devices."
6625,ELECT ELECTRONIC MEASURING INSTRUMT,10/15/1978,9/30/2011,Electrical and Electronic Properties Measuring and Testing Instruments,Radiac Equipment.,"This class includes all ""basic"" types of electrical and electronic test instruments, such as ammeters, voltmeters, ohmmeters, multimeters, and similar instruments, even if specially designed.  Excluded from this class by the modifier ""except specially designed"" are test instruments, other than ""basic"" instruments, which are specially designed for use with atomic ordnance, fire control, guided missile, motor vehicle, aircraft, or photographic equipment.  Such specially designed test instruments are to be classified in other classes in the Federal Supply Classification. This class includes communications test equipment, infrared test equipment designed for communication, and night vision maintenance and test specialized equipment.",Test Leads and Test Lead Attachments; Test instruments designed for communication equipment; Test instruments designed for use with electronic equipment classified in two or more FSC groups.
6625,ELECTRICAL AND ELECTRONIC PROPERTIES MEASURING AND TESTING INSTRUMENTS,10/1/2011,,Electrical and Electronic Properties Measuring and Testing Instruments,Radiac Equipment.,"This class includes all ""basic"" types of electrical and electronic test instruments, such as ammeters, voltmeters, ohmmeters, multimeters, and similar instruments, even if specially designed.  Excluded from this class by the modifier ""except specially designed"" are test instruments, other than ""basic"" instruments, which are specially designed for use with atomic ordnance, fire control, guided missile, motor vehicle, aircraft, or photographic equipment.  Such specially designed test instruments are to be classified in other classes in the Federal Supply Classification. This class includes communications test equipment, infrared test equipment designed for communication, and night vision maintenance and test specialized equipment.",Test Leads and Test Lead Attachments; Test instruments designed for communication equipment; Test instruments designed for use with electronic equipment classified in two or more FSC groups.
6630,CHEMICAL ANALYSIS INSTRUMENTS,10/15/1978,,Chemical Analysis Instruments,Gas Detecting Equipment; Manual Gas Alarms; Chemicals; In Vitro  Diagnostic Substances and Reagents.,,Acidity (pH) Meters; Gas Analyzers; Alkalinity Measuring Instruments; Colorimeters.
6635,PHYSICAL PROPERTIES TESTING AND INSPECTION,10/1/2011,,Physical Properties Testing and Inspection,General purpose Measuring Tools (FSC 5210) and Precision Measuring Tools and Inspection Gages (FSC 5220)..,,Destructive and Nondestructive Inspection Equipment such as Fluorescent Penetrant Inspection Units; Magnetic Inspection Units; Industrial X-Ray Machines; Industrial X-Ray Film; Tensiometers; Material Hardness Testers.
6635,PHYSICAL PROPERTIES TEST EQ,10/15/1978,9/30/2011,Physical Properties Testing and Inspection,General purpose Measuring Tools (FSC 5210) and Precision Measuring Tools and Inspection Gages (FSC 5220)..,,Destructive and Nondestructive Inspection Equipment such as Fluorescent Penetrant Inspection Units; Magnetic Inspection Units; Industrial X-Ray Machines; Industrial X-Ray Film; Tensiometers; Material Hardness Testers.
6636,ENVIRONMENTAL CHAMBERS & RELATED EQ,10/15/1978,9/30/2011,Environmental Chambers and Related Equipment,"General purpose prefabricated buildings, chambers, panels, and components (FSC 5410); Controlled Environmental Conditioning Kits and Sets (FSC 4240); Baths (FSC 4510);  Ovens (FSC 7310); Kilns (FSC 3630); Radiosonde Baseline Check Sets (FSC 6660); Divers  Recompression Chambers (FSC 4220); Altitude Training Decompression Chambers (FSC 6930); and chambers used as training devices (FSC 6930);  Checkout and Test Equipment (FSC 6625); Chemical Analysis Instruments (FSC 6630); Electrical and Electronic Properties Measuring and Testing Instruments (FSC 6625); Meteorological Instruments (FSC 6660).","This class includes only those environmental chambers used exclusively to perform controlled tests, under simulated conditions, to determine physical damage and/or changes in operating characteristics for equipment and components  such as Humidity, Immersion, Moisture; Altitude; Explosion; Thermal Shock;  Sand and Dust; Flammability; Seal.  Environmental chambers included in this  class provide data regarding service life and behavior of various items equivalent  to actual service conditions existing in the field.",Chambers; Wind Tunnels; Enclosures specifically designed to simulate an environmental condition; Weather-ometers; Fadeometers; Specially designed equipment and components exclusively related to environmental chambers.
6636,ENVIRONMENTAL CHAMBERS AND RELATED EQUIPMENT,10/1/2011,,Environmental Chambers and Related Equipment,"General purpose prefabricated buildings, chambers, panels, and components (FSC 5410); Controlled Environmental Conditioning Kits and Sets (FSC 4240); Baths (FSC 4510);  Ovens (FSC 7310); Kilns (FSC 3630); Radiosonde Baseline Check Sets (FSC 6660); Divers  Recompression Chambers (FSC 4220); Altitude Training Decompression Chambers (FSC 6930); and chambers used as training devices (FSC 6930);  Checkout and Test Equipment (FSC 6625); Chemical Analysis Instruments (FSC 6630); Electrical and Electronic Properties Measuring and Testing Instruments (FSC 6625); Meteorological Instruments (FSC 6660).","This class includes only those environmental chambers used exclusively to perform controlled tests, under simulated conditions, to determine physical damage and/or changes in operating characteristics for equipment and components  such as Humidity, Immersion, Moisture; Altitude; Explosion; Thermal Shock;  Sand and Dust; Flammability; Seal.  Environmental chambers included in this  class provide data regarding service life and behavior of various items equivalent  to actual service conditions existing in the field.",Chambers; Wind Tunnels; Enclosures specifically designed to simulate an environmental condition; Weather-ometers; Fadeometers; Specially designed equipment and components exclusively related to environmental chambers.
6640,LABORATORY EQUIPMENT AND SUPPLIES,10/15/1978,,Laboratory Equipment and Supplies,Instruments covered by other classes in group 66; Dental Laboratory Equipment; Laboratory Scales and Balances; In Vitro Diagnostic Substances and Reagents.,,"Laboratory Glassware; Laboratory Funnels; Laboratory Furnaces;  Glass Beads; Laboratory White Sand; Litmus Paper; Paper Filters; Insect  Transfixion Pins; Laboratory Glass Wool; Laboratory Furniture, except Dental  Laboratory."
6645,TIME MEASURING INSTRUMENTS,10/15/1978,,Time Measuring Instruments,,,Clocks; Job Recording Devices; Time Recorders; Time Stamps; Watch and Clock Movements; Watches.
6650,OPTICAL INSTRUMENTS,10/15/1978,9/30/2011,"Optical Instruments, Test Equipment, Components and Accessories","Fire Control Instruments, Optical; Surveying Instruments, Optical; Photogrammetric Instruments; Octants and Sextants; Optical Instruments Integrated with Fire Control Equipment; Ophthalmo-logical Instruments; Electronic Fiber Optic Test Equipment; Medical Endoscopes.",,"Binoculars; Magnifiers; Microscopes; Periscopes; Telescopes.  Optical Elements, such as Lens, Prisms, Windows; Optical Benches and associated devices; Endoscopes, Fiber Optics (non-medical)."
6650,"OPTICAL INSTRUMENTS, TEST EQUIPMENT, COMPONENTS AND ACCESSORIES",10/1/2011,,"Optical Instruments, Test Equipment, Components and Accessories","Fire Control Instruments, Optical; Surveying Instruments, Optical; Photogrammetric Instruments; Octants and Sextants; Optical Instruments Integrated with Fire Control Equipment; Ophthalmo-logical Instruments; Electronic Fiber Optic Test Equipment; Medical Endoscopes.",,"Binoculars; Magnifiers; Microscopes; Periscopes; Telescopes.  Optical Elements, such as Lens, Prisms, Windows; Optical Benches and associated devices; Endoscopes, Fiber Optics (non-medical)."
6655,GEOPHYSICAL INSTRUMENTS,12/15/1978,,Geophysical Instruments,Telescopes.,,"Geodetic, Oceanographic, and Seismographic Instruments."
6660,METEOROLOG INSTRUMENTS & APPARATUS,10/15/1978,9/30/2011,Meteorological Instruments and Apparatus,,,Meteorological Balloons; Radiosonde Sets; Radarsonde Sets.
6660,METEOROLOGICAL INSTRUMENTS AND APPARATUS,10/1/2011,,Meteorological Instruments and Apparatus,,,Meteorological Balloons; Radiosonde Sets; Radarsonde Sets.
6665,HAZARD-DETECTING INSTRU & APPARATUS,10/15/1978,9/30/2011,Hazard-Detecting Instruments and Apparatus,Manual Gas Alarms (FSC 6350).,,Radiac Equipment; Gas Detecting Equipment; Land Mine Detecting Equipment
6665,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,10/1/2011,,Hazard-Detecting Instruments and Apparatus,Manual Gas Alarms (FSC 6350).,,Radiac Equipment; Gas Detecting Equipment; Land Mine Detecting Equipment
6670,SCALES AND BALANCES,10/15/1978,,Scales and Balances,,,"Coin Operated, Household, Industrial, Postal, and Laboratory Scales and Balances."
6675,"DRAFTING, SURVEYING, AND MAPPING INSTRUMENTS",10/1/2011,,"Drafting, Surveying, and Mapping Instruments",Surveyors' Tapes.,,"Drawing Instruments, Drafting Tools; Engineering and Architectural Scales; Levels; Transits; Photogrammetric Instruments; Astrolabes; Level Rods; Plane Tables; Surveying Altimeters; Theodolites."
6675,DRAFTING SURVEYING & MAPPING INSTRU,10/15/1978,9/30/2011,"Drafting, Surveying, and Mapping Instruments",Surveyors' Tapes.,,"Drawing Instruments, Drafting Tools; Engineering and Architectural Scales; Levels; Transits; Photogrammetric Instruments; Astrolabes; Level Rods; Plane Tables; Surveying Altimeters; Theodolites."
6680,"LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",10/1/2011,,"Liquid and Gas Flow, Liquid Level, and Mechanical Motion Measuring Instruments",Combination Instruments; (FSC 6695); Meteorological Instruments (FSC 6660); and Automatic Control Valves (FSG 48).,,"Liquid Level Float Instruments; Revolution Counters;  Speedometers; Rotation Measuring Instruments and Apparatus; Oxygen Flow Indicators; Tachometers, including Engine Tachometers."
6680,LIQUID-GAS-MOTION MEASURING INSTRU,10/15/1978,9/30/2011,"Liquid and Gas Flow, Liquid Level, and Mechanical Motion Measuring Instruments",Combination Instruments; (FSC 6695); Meteorological Instruments (FSC 6660); and Automatic Control Valves (FSG 48).,,"Liquid Level Float Instruments; Revolution Counters;  Speedometers; Rotation Measuring Instruments and Apparatus; Oxygen Flow Indicators; Tachometers, including Engine Tachometers."
6685,"PRESSURE, TEMPERATURE, AND HUMIDITY MEASURING AND CONTROLLING INSTRUMENTS",10/1/2011,,"Pressure, Temperature, and Humidity Measuring and Controlling Instruments",Clinical Thermometers; (FSC 6515); Thermosstatic and Differential Pressure Switches (FSC 5930); and Meteorological Instruments (FSC 6660).,,"Thermometers, including Engine Thermometers; Pressure Gages; Thermocouple  Leads; Resistance Bulbs."
6685,PRESSURE TEMP HUMIDITY INSTRUMENTS,10/15/1978,9/30/2011,"Pressure, Temperature, and Humidity Measuring and Controlling Instruments",Clinical Thermometers; (FSC 6515); Thermosstatic and Differential Pressure Switches (FSC 5930); and Meteorological Instruments (FSC 6660).,,"Thermometers, including Engine Thermometers; Pressure Gages; Thermocouple  Leads; Resistance Bulbs."
6695,COMBINATION AND MISCELLANEOUS INSTRUMENTS,10/1/2011,,Combination and Miscellaneous Instruments,"Dental, Medical, Surgical, and Veterinary Instruments.",,Flow-Pressure Instruments; Taximeters; Dynamometers.
6695,COMBINATION & MISC INSTRUMENTS,10/15/1978,9/30/2011,Combination and Miscellaneous Instruments,"Dental, Medical, Surgical, and Veterinary Instruments.",,Flow-Pressure Instruments; Taximeters; Dynamometers.
67,PHOTOGRAPHIC EQPT,10/1/1979,,,,"Included are computers (including computer assemblies, computer systems and components) designed specifically for use with photographic equipment.",
6710,"CAMERAS, MOTION PICTURE",10/15/1978,,"Cameras, Motion Picture","Television Cameras, Nonairborne (FSC 5820); Television Cameras,  Airborne (FSC 5821); Video Camera (FSC 5836).",,Aerial and Mapping Cameras.
6720,"CAMERAS, STILL PICTURE",10/15/1978,,"Cameras, Still Picture","X-Ray Cameras (FSC 6525), and Industrial X-Ray Machine (FSC 6635).",,"Aerial, Mapping, Microfilm, Photocopy, and Studio Cameras."
6730,PHOTOGRAPHIC PROJECTION EQUIPMENT,10/15/1978,,Photographic Projection Equipment,,,Screens; Viewers; Photomap Projectors; Integrated Viewers/Printers and Microform Storage and Retrieval Systems.
6740,PHOTOGRAPHIC DEVELOPING AND FINISHING EQUIPMENT,10/1/2011,,Photographic Developing and Finishing Equipment,,,Editing Equipment; Enlargers; Driers; Pressures; Printers; Washers.
6740,PHOTO DEVELOPLNG & FINISHING EQ,10/15/1978,9/30/2011,Photographic Developing and Finishing Equipment,,,Editing Equipment; Enlargers; Driers; Pressures; Printers; Washers.
6750,PHOTOGRAPHIC SUPPLIES,10/15/1978,,Photographic Supplies,X-Ray Film (Medical Class 6525 or Industrial Class 6653);  Electrographic (Facsimile) Paper for direct electrostatic printing or copying (FSC 7530).,,Sensitized Photographic Paper; Special Purpose Photographic  Chemicals; Unprocessed Film; Photoflash Lamps.
6760,PHOTOGRAPHIC EQUIPMENT AND ACCESSORIES,10/1/2011,,Photographic Equipment and Accessories,Lamps (bulbs) (FSC 6240); Photoflash Lamps (FSC 6750).,,Light Meters; Tripods; Filters; Range finders; Photographic Floodlight Fixtures; Lenses; Specialized Photographic Test Equipment.
6760,PHOTOGRAPHIC EQ & ACCESSORIES,10/15/1978,9/30/2011,Photographic Equipment and Accessories,Lamps (bulbs) (FSC 6240); Photoflash Lamps (FSC 6750).,,Light Meters; Tripods; Filters; Range finders; Photographic Floodlight Fixtures; Lenses; Specialized Photographic Test Equipment.
6770,"FILM, PROCESSED",10/15/1978,,"Film, Processed",X-Ray Film (Medical class 6525 or Industrial class 6635); Training  and Educational Film (FSC 6910); Processed Microfilm (FSC 7670).,,"Motion Picture Film, Silent and Sound; Still Picture Film."
6780,"PHOTOGRAPHIC SETS, KITS, AND OUTFITS",10/1/2011,,"Photographic Sets, Kits, and Outfits",,,
6780,PHOTOGRAPHIC SETS KITS & OUTFITS,10/15/1978,9/30/2011,"Photographic Sets, Kits, and Outfits",,,
68,CHEMICALS AND CHEMICAL PRODUCTS,10/1/1979,,,,"In general, individual nonmedicinal chemical elements and compounds  are classified in class 6810.  Combinations (or mixtures) of chemical compounds, or chemicals prepared in a particular vehicle (other than water) are generally  classified according to use, in classes other than 6810.  For example, the chemical compound DDT, is classified in 6810, whereas DDT liquid spray, the insecticide  is classified in 6840-Pest Control Agents and Disinfectants.  Similarly, items of  supply bearing nonchemical names such as BLEACH; INSECTICIDE, ROACH;  and ANTIFREEZE are generally classified according to use, in classes other than 6810, whereas corresponding chemical compounds, such as sodium hypochlorite solution, chlordane, and ethylene glycol are classified in 6810.  Medicinal chemicals are generally classified in 6505-Drugs and Biologicals; in vitro diagnostic substances and reagents are classified in 6550-In Vitro  Diagnostic Substances, Reagents, Test Kits and Sets.  Excluded from this group  are liquid chemicals designed exclusively for use as propellant fuels and oxidizers.",
6810,CHEMICALS,10/15/1978,,Chemicals,Medicinal Chemicals; Gases; Foundry Dextrines; Radiographic and photographic Chemicals; In Vitro Diagnostic Substances and Reagents.,,"Naphtha Solvents; Water Softening Compounds; Tanning  Materials, Natural or Synthetic; Dextrines and Starches; Inedible Gelatins; Acetone; Propellant Chemicals, Bulk not specialized solely for Guided Missile Use."
6820,DYES,11/15/1978,,Dyes,,,Household Tints
6830,GASES: COMPRESSED AND LIQUEFIED,10/15/1978,,Gases: Compressed and Liquefied,"Military Chemical Gases; Medical Gases; Empty Gas Cylinders and their caps, valves, and valve spare parts.",,Fuel Gases.
6840,PEST CONTROL AGENTS AND DISINFECTANTS,10/1/2011,,Pest Control Agents and Disinfectants,Personal Deodorants.,,Insect Repellents; Fungicides; Insecticides; Rodenticides; Weed Killers.
6840,PEST CONT AGENTS & DISINFECTANTS,10/15/1978,9/30/2011,Pest Control Agents and Disinfectants,Personal Deodorants.,,Insect Repellents; Fungicides; Insecticides; Rodenticides; Weed Killers.
6850,MISCELLANEOUS CHEMICAL SPECIALTIES,10/15/1978,,Miscellaneous Chemical Specialties,,,Antifogging Compounds; Wetting Agents; Etching and Fountain  Solutions for Lithographing; Blanket Repair Solutions for Lithographing; Antifreeze.
69,TRAINING AIDS AND DEVICES,10/1/1979,,,,"Included are computers (including computer assemblies, computer systems and components) designed specifically for use as, or with training aids and devices.",
6910,TRAINING AIDS,10/15/1978,,Training Aids,"Drill, Dummy, Exercise, Practice, or Simulated Ammunition and Weapons.",,"Mockups; Cutaway Models; Scale Models; Training Films; Training  Aid Maps; Navigational Training Aids; Flight Instrument Training Aids; Aircraft Instrument Training Aids; Vehicle Training Aids; Engine Instrument  Training Aids; Hydraulic System Training Aids; Cutaway, Mockup, or Sectionalized Ammunition only; Training Equipment normally used in  classroom training."
6920,ARMAMENT TRAINING DEVICES,10/15/1978,,Armament Training Devices,"Target Drones; Drones for such use as training, surveillence, missile evaluation, and photographic reconnaissance; Atomic Ordnance Training Devices; Training Aids; Drill, Dummy, Exercise, Practice, or  Simulated Ammunition and Weapons.",,Bombing Trainers; Gunnery Trainers; Tow Targets; Gunnery Targets; Guided Missile Training Sets.
6930,OPERATION TRAINING DEVICES,10/15/1978,,Operation Training Devices,Training Aids,,Link Trainers; Automatic Pilot Training Devices; Drift Meter Training Devices; Celestial Navigation Trainers; Dead Reckoning  Navigation Trainers; Instrument Flying and Landing Trainers; Terrain Projection Trainers; All operational training devices except  communication and armament.
6940,COMMUNICATION TRAINING DEVICES,10/15/1978,,Communication Training Devices,Training Aids.,,Supersonic Radar Trainers; Navigational Radar Trainers; Search  and Detecting Radar Trainers; Code Practice Equipment.
70,ADP EQPT/SOFTWARE/SUPPLIES AND EQPT,10/1/1979,,,,,
7010,ADPE SYSTEM CONFIGURATION,10/15/1978,,ADPE System Configuration,,"A group of general purpose analog, digital, or hybrid electronic or electromechanical devices that are interconnected to operate as a system. Frequently referred to as an ADP system, although the term ""system"" is not considered definitive.","an assembly of devices consisting of a central processing unit (CPU) and the necessary input/output devices, accessorial devices, analog  measurement devices, software and/or firmware required to perform the  desired objectives.  Also includes sup-assemblies and units in which  input/output devices, CPUs, and/or accessorial devices or components  are incorporated into a single assembly or unit.  A specially designed  device incorporated into a system shall not influence the classification  of the base assembly or unit."
7020,"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), ANALOG",10/1/2011,,"ADP Central Processing Unit (CPU, Computer), Analog",,"An analog is a representation in one form of a physical condition existing in another form (e.g., the level of mercury in a tube represents temperature in a thermometer; the angular position of a needle represents speed on a speedometer).  This class includes only CPUs that accept as inputs the electrical equivalent of physical conditions such as flow, temperature, pressure, angular position or voltage and perform computations by manipulating these electrical equivalents  to produce results for further use.",
7020,ADP CENTRAL PROCESSING UNIT-ANALOG,10/15/1978,9/30/2011,"ADP Central Processing Unit (CPU, Computer), Analog",,"An analog is a representation in one form of a physical condition existing in another form (e.g., the level of mercury in a tube represents temperature in a thermometer; the angular position of a needle represents speed on a speedometer).  This class includes only CPUs that accept as inputs the electrical equivalent of physical conditions such as flow, temperature, pressure, angular position or voltage and perform computations by manipulating these electrical equivalents  to produce results for further use.",
7021,"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL",10/1/2011,,"ADP Central Processing Unit (CPU, Computer), Digital",,"Digital refers to the representation of discrete numbers, symbols and alphabetic  characters by a predetermined, coded combination of electrical  impulses. This class includes only CPUs that accept information represented  by digital impulses. Specifically, a device capable of performing sequences of  arithmetic and logic operations (a program) not only on data but also on the program which is contained in its internal memory (storage) without intervention of an operator.",
